The Sims 3: Supernatural,PC,45,Simulation,9
Retro/Grade,PS3,70,,8
Iron Brigade,PC,90,Action,8
Cafeteria Nipponica,iPhone,60,Simulation,8
Sleeping Dogs,X360,85,Action,8
Sleeping Dogs,PS3,85,Action,8
Darksiders II,PS3,75,Action,8
Papo & Yo,PS3,40,Adventure,8
The Walking Dead: The Game -- Episode 4: Around Every Corner,PC,75,Adventure,10
The Walking Dead: The Game -- Episode 4: Around Every Corner,iPad,75,Adventure,10
The Walking Dead: The Game -- Episode 4: Around Every Corner,PS3,75,Adventure,10
Cortex Command,PC,50,Action Simulation,10
The Walking Dead: The Game -- Episode 4: Around Every Corner,X360,75,Adventure,10
Derrick the Deathfin,PS3,74,Action,10
The Walking Dead: The Game -- Episode 4: Around Every Corner,Macintosh,75,Adventure,10
XCOM: Enemy Unknown,X360,82,Strategy,10
XCOM: Enemy Unknown,PC,82,Strategy,10
Silent Hill: Book of Memories,PSV,60,Adventure,10
Diaspora: Shattered Armistice,PC,74,Flight Action,10
Pocket Clothier,iPhone,66,Strategy,10
Pocket Clothier,Android,66,Strategy,10
Ravaged,PC,67,Shooter,10
True Skate,iPhone,67,Sports,10
Zero Escape: Virtue's Last Reward,3DS,95,Adventure,10
Zero Escape: Virtue's Last Reward,PSV,95,Adventure,10
The Walking Dead: The Game -- Episode 3: Long Road Ahead,iPad,90,Adventure,10
Skylanders Giants,X360,80,Action Adventure,10
Skylanders Giants,Wii,80,Action Adventure,10
Borderlands 2: Captain Scarlett and her Pirate's Booty,X360,75,Shooter RPG,10
Devil's Attorney,Android,83,Strategy,10
Devil's Attorney,iPhone,83,Strategy,10
Code of Princess,3DS,69,Action RPG,10
SunFlowers,PSV,80,Puzzle,10
007 Legends,X360,45,Action,10
Super Hexagon,iPhone,90,Action,9
Machinarium,PS3,80,Adventure,9
Final Fantasy Dimensions,iPhone,80,RPG,9
They Bleed Pixels,PC,82,Platform,9
Jet Set Radio,PSV,75,Action,9
Jet Set Radio,PS3,75,Action,9
Jet Set Radio,X360,75,Action,9
Pro Evolution Soccer 2013,X360,85,Sports,9
F1 2012,PC,90,Racing,9
Darksiders II,X360,75,Action,8
Pitfall,iPhone,70,Platform,8
Dust: An Elysian Tail,X360,85,Platform,8
Hybrid,X360,80,Shooter,8
The Dark Knight Rises,iPhone,55,Action,8
10000000,iPhone,75,,8
The Political Machine 2012,PC,65,Strategy,8
Sound Shapes,PS3,90,Platform,8
Sound Shapes,PSV,90,Platform,8
One Piece: Pirate Warriors,PS3,60,Action,10
XCOM: Enemy Unknown,PS3,82,Strategy,10
Dishonored,X360,92,Action,10
Dishonored,PC,92,Action,10
Dishonored,PS3,92,Action,10
Angry Birds Trilogy,3DS,70,Puzzle Action,10
Angry Birds Trilogy,X360,70,Puzzle Action,10
Angry Birds Trilogy,PS3,70,Puzzle Action,10
Girls Like Robots,iPhone,85,Puzzle,10
Happy Wars,X360,40,Action,10
007 Legends,PS3,45,Action,10
Funky Smugglers,iPhone,90,Action,10
Colour Bind,PC,62,,10
WRC 3 FIA World Rally Championship,X360,50,Racing,10
WRC 3 FIA World Rally Championship,PC,50,Racing,10
Retro City Rampage,PS3,53,Action Adventure,10
Retro City Rampage,PC,53,Action Adventure,10
Dance Central 3,X360,80,Music,10
WRC 3 FIA World Rally Championship,PS3,50,Racing,10
Snapshot,PC,50,Platform,9
F1 2012,PS3,90,Racing,9
Pro Evolution Soccer 2013,PS3,85,Sports,9
F1 2012,X360,90,Racing,9
Pro Evolution Soccer 2013,PC,85,Sports,9
Borderlands 2,X360,90,Shooter RPG,9
Borderlands 2,PC,90,Shooter RPG,9
Joe Danger: The Movie,X360,80,Action,9
Borderlands 2,PS3,90,Shooter RPG,9
Sound Shapes,PS4,90,Platform,8
Persona 4 Arena,PS3,90,Fighting,8
Persona 4 Arena,X360,90,Fighting,8
Hell Yeah! Wrath of the Dead Rabbit,PC,49,Platform,10
Hell Yeah! Wrath of the Dead Rabbit,X360,49,Platform,10
Retro City Rampage,PSV,53,Action Adventure,10
The Unfinished Swan,PS3,90,Puzzle,10
Tokyo Jungle,PS3,80,Adventure,9
Halo 4,X360,98,Shooter,11
Halo 4 (Limited Edition),X360,98,Shooter,11
Zone of the Enders HD Collection,PS3,70,Action Compilation,11
Harvest Moon: A New Beginning,3DS,83,Adventure,11
Zone of the Enders HD Collection,X360,70,Action Compilation,11
Borderlands Legends,iPhone,65,Action RPG,10
