Mario Kart 8,WiiU,2014,Racing,Nintendo,7.09,88,91
Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,7.07,92,91
Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,6.9,82,86
Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,6.83,88,85
Just Dance 4,Wii,2012,Misc,Ubisoft,6.76,74,73
Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,6.75,93,77
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,6.74,92,83
Zumba Fitness,Wii,2010,Sports,505 Games,6.71,50,0
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,6.68,94,84
Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,6.66,96,88
Big Brain Academy,DS,2005,Misc,Nintendo,6.62,74,74
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,6.49,95,88
FIFA 14,PS3,2013,Sports,Electronic Arts,6.47,86,43
Assassin's Creed III,PS3,2012,Action,Ubisoft,6.45,85,69
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,6.44,87,86
Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,6.43,97,86
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,6.41,92,64
Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,6.41,76,90
Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,6.4,85,88
Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,6.34,83,71
Red Dead Redemption,X360,2010,Action,Take-Two Interactive,6.32,95,90
Super Mario Sunshine,GC,2002,Platform,Nintendo,6.31,92,86
World of Warcraft,PC,2004,Role-Playing,Activision,6.29,93,73
Driver,PS,1999,Action,GT Interactive,6.27,87,81
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,6.21,91,78
Kinect Sports,X360,2010,Sports,Microsoft Game Studios,6.19,73,74
Gears of War,X360,2006,Shooter,Microsoft Game Studios,6.09,94,83
FIFA 15,PS4,2014,Sports,Electronic Arts,6.08,82,57
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,6.05,96,87
Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,6.03,94,94
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,5.99,94,87
Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,5.95,92,76
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,5.87,95,91
LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,5.82,95,68
Resident Evil 2,PS,1998,Action,Virgin Interactive,5.82,89,92
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,5.78,87,88
Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,5.74,89,89
Destiny,PS4,2014,Shooter,Activision,5.64,76,61
LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,5.64,80,89
Cooking Mama,DS,2006,Simulation,505 Games,5.63,67,72
Assassin's Creed II,PS3,2009,Action,Ubisoft,5.55,91,86
Assassin's Creed,X360,2007,Adventure,Ubisoft,5.54,81,77
Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,5.49,92,80
Super Mario Advance,GBA,2001,Platform,Nintendo,5.49,84,78
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,5.48,81,87
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,5.48,96,86
Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,5.48,97,79
Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,5.47,93,83
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,5.42,66,71
Call of Duty: World at War,PS3,2008,Shooter,Activision,5.39,85,76
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,5.38,93,79
Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,5.33,83,73
Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,5.3,94,89
Assassin's Creed III,X360,2012,Action,Ubisoft,5.29,84,67
Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,5.29,85,66
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,5.27,81,54
Assassin's Creed II,X360,2009,Action,Ubisoft,5.26,90,88
Madden NFL 2004,PS2,0000,Sports,Electronic Arts,5.23,94,85
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,5.22,84,81
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,5.21,89,88
Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,5.19,85,86
FIFA Soccer 13,X360,2012,Action,Electronic Arts,5.16,90,61
Diablo III,PC,2012,Role-Playing,Activision,5.14,88,40
Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,5.13,68,76
Guitar Hero II,PS2,2006,Misc,RedOctane,5.12,92,85
Fable III,X360,2010,Role-Playing,Microsoft Game Studios,5.1,80,65
Resident Evil 5,PS3,2009,Action,Capcom,5.09,84,75
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,5.08,90,80
FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,5.07,89,80
Resident Evil,PS,1996,Action,Virgin Interactive,5.05,91,90
Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,5.03,86,80
Tony Hawk's Pro Skater,PS,1999,Sports,Activision,5.02,92,92
Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,4.98,82,82
Link's Crossbow Training,Wii,2007,Shooter,Nintendo,4.98,68,71
Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,4.93,93,85
Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,4.92,88,81
Madden NFL 06,PS2,2005,Sports,Electronic Arts,4.91,88,80
StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,4.84,93,82
Assassin's Creed,PS3,2007,Adventure,Ubisoft,4.82,81,73
God of War III,PS3,2010,Action,Sony Computer Entertainment,4.8,92,87
Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,4.79,88,90
LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,4.76,80,54
Driver 2,PS,2000,Action,Atari,4.73,62,77
Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,4.73,94,87
Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,4.68,98,77
The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,4.67,82,82
Tomb Raider,PS,1996,Action,Eidos Interactive,4.63,91,86
Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,4.62,73,76
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,4.62,86,81
The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,4.6,96,89
Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,4.6,86,84
Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,4.59,86,84
Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,4.57,91,82
Madden NFL 2005,PS2,2004,Sports,Electronic Arts,4.53,91,79
Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,4.53,85,79
Madden NFL 07,PS2,2006,Sports,Electronic Arts,4.49,84,82
Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,4.48,84,64
Spider-Man: The Movie,PS2,2002,Action,Activision,4.48,76,79
Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,4.46,77,34
God of War,PS2,2005,Action,Sony Computer Entertainment,4.45,94,89
Splatoon,WiiU,2015,Shooter,Nintendo,4.43,81,85
Nintendo Land,WiiU,2012,Misc,Nintendo,4.42,77,79
Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision,4.41,97,75
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami Digital Entertainment,4.39,86,89
The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,4.38,94,87
Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts,4.37,82,91
